id,x,time
2,6,2024-12-17 07:55:29
2,58,2024-12-17 07:55:30
2,76,2024-12-17 07:55:31
2,42,2024-12-17 07:55:32
2,43,2024-12-17 07:55:33
2,64,2024-12-17 07:55:34
2,61,2024-12-17 07:55:35
2,17,2024-12-17 07:55:36
2,19,2024-12-17 07:55:37
2,78,2024-12-17 07:55:38
2,7,2024-12-17 07:55:39
2,90,2024-12-17 07:55:40
2,59,2024-12-17 07:55:41
2,4,2024-12-17 07:55:42
2,87,2024-12-17 07:55:43
2,35,2024-12-17 07:55:44
2,36,2024-12-17 07:55:45
2,66,2024-12-17 07:55:46
2,54,2024-12-17 07:55:47
2,44,2024-12-17 07:55:48
2,83,2024-12-17 07:55:49
2,92,2024-12-17 07:55:50
2,80,2024-12-17 07:55:51
2,63,2024-12-17 07:55:52
2,74,2024-12-17 07:55:53
2,33,2024-12-17 07:55:54
2,15,2024-12-17 07:55:55
2,98,2024-12-17 07:55:56
2,41,2024-12-17 07:55:57
2,35,2024-12-17 07:55:58
2,33,2024-12-17 07:55:59
2,61,2024-12-17 07:56:00
2,47,2024-12-17 07:56:01
2,11,2024-12-17 07:56:02
2,23,2024-12-17 07:56:03
2,77,2024-12-17 07:56:04
2,2,2024-12-17 07:56:05
2,73,2024-12-17 07:56:06
2,42,2024-12-17 07:56:07
2,76,2024-12-17 07:56:08
2,96,2024-12-17 07:56:09
2,59,2024-12-17 07:56:10
2,55,2024-12-17 07:56:11
2,27,2024-12-17 07:56:12
2,84,2024-12-17 07:56:13
2,53,2024-12-17 07:56:14
2,98,2024-12-17 07:56:15
2,9,2024-12-17 07:56:16
2,75,2024-12-17 07:56:17
2,82,2024-12-17 07:56:18
2,91,2024-12-17 07:56:19
2,25,2024-12-17 07:56:20
2,36,2024-12-17 07:56:21
2,12,2024-12-17 07:56:22
2,26,2024-12-17 07:56:23
2,77,2024-12-17 07:56:24
2,91,2024-12-17 07:56:25
2,75,2024-12-17 07:56:26
2,26,2024-12-17 07:56:27
2,74,2024-12-17 07:56:28
2,90,2024-12-17 07:56:29
2,69,2024-12-17 07:56:30
2,68,2024-12-17 07:56:31
2,37,2024-12-17 07:56:32
2,10,2024-12-17 07:56:33
2,10,2024-12-17 07:56:34
2,84,2024-12-17 07:56:35
2,78,2024-12-17 07:56:36
2,100,2024-12-17 07:56:37
2,71,2024-12-17 07:56:38
2,52,2024-12-17 07:56:39
2,71,2024-12-17 07:56:40
2,64,2024-12-17 07:56:41
2,40,2024-12-17 07:56:42
2,59,2024-12-17 07:56:43
2,92,2024-12-17 07:56:44
2,63,2024-12-17 07:56:45
2,51,2024-12-17 07:56:46
2,70,2024-12-17 07:56:47
2,8,2024-12-17 07:56:48
2,85,2024-12-17 07:56:49
2,74,2024-12-17 07:56:50
2,65,2024-12-17 07:56:51
2,24,2024-12-17 07:56:52
2,100,2024-12-17 07:56:53
2,39,2024-12-17 07:56:54
2,89,2024-12-17 07:56:55
2,36,2024-12-17 07:56:56
2,64,2024-12-17 07:56:57
2,63,2024-12-17 07:56:58
2,86,2024-12-17 07:56:59
2,34,2024-12-17 07:57:00
2,100,2024-12-17 07:57:01
2,6,2024-12-17 07:57:02
2,51,2024-12-17 07:57:03
2,53,2024-12-17 07:57:04
2,20,2024-12-17 07:57:05
2,49,2024-12-17 07:57:06
2,50,2024-12-17 07:57:07
2,82,2024-12-17 07:57:08
